BLUEPRINT|TNPULEBRI|A detailed plan or design
COUNTDOWN|DTWNOCNUO|A backward sequence before an event
STARTLING|GTLNRSAIT|Surprising or astonishing
CARPETING|TICNGPEAR|Floor covering material
GRENADIER|AIGNRDERE|A type of soldier
PETROLEUM|MOUERTPLE|Crude oil and its derivatives
RECTANGLE|CTRELAGNE|A four-sided flat shape
IMPORTANT|TNAMIPORT|Of great significance
SPECTATOR|POSTCATER|Someone watching an event
TRANSPORT|RNOTTARPS|Moving people or goods
CARNATION|TONRAANIC|A type of flower
CELEBRATE|EBTELRACE|To mark a happy occasion
DEMANDING|DEMNIGDAN|Requiring great effort
ELABORATE|EOBARATEL|Detailed and complicated
FORMATION|IOATONMRF|An arrangement or pattern
GREATNESS|ESNAERTGS|The quality of being great
HAPPINESS|NASEPHSIP|The state of being happy
IDENTICAL|TCALDENII|Exactly the same
MILESTONE|EMILESOTN|A significant achievement
NIGHTMARE|HIRMNGETA|A very frightening dream
ORCHESTRA|OCHRTRASE|A large group of musicians
PARACHUTE|PHATACRUO|Device for safe descent
QUALITIES|SQUITAILE|Characteristics or features
RASPBERRY|BSYRARPRE|A red or black berry
SCULPTURE|LCETRSUPU|A three-dimensional artwork
TESTIMONY|STIOYMNTE|A formal statement
UNCERTAIN|NCTEUNRAI|Not definitely known
VALENTINE|VLANITEEN|A token of love or affection
WATERFALL|LTFEARAWL|Water falling from a height
YESTERDAY|SEATDREHY|The day before today
ZEALOUSLY|LOUZSYEAL|With great enthusiasm
AFTERMATH|RFTHMAAET|Consequences of an event
BRILLIANT|BTRANLILI|Very bright or intelligent
CHEMISTRY|RHMYSTICE|The science of substances
DIALOGUES|GODSILEAU|Conversations in text
ELEPHANTS|PHANTELSE|Large grey mammals
FIREWORKS|RFISWOKRE|Explosive displays of light
GEOGRAPHY|PHYROEAGP|The study of the earth
HURRICANE|NARRIHUCE|A violent tropical storm
INVISIBLE|SINIBVILE|Unable to be seen
JUDGEMENT|JDTUGEMEN|An opinion or decision
LABYRINTH|NLBHYTIRA|A maze or complex system
MECHANISM|MHCNIAMSE|A system of moving parts
NOTORIOUS|TOUNORISE|Well known for a bad reason
OPERATION|PNOOAIRET|A process or procedure
PARCHMENT|PRACMNHET|A writing material
QUARTERLY|TAYRLEQU|Happening four times a year
RELENTLESS|SLNLEETER|Without stopping or weakening
SUBMARINE|BNMAURIES|An underwater vessel
TORMENTED|DTRMONETE|Caused to suffer greatly
